&, 96
0, 1235
1, 17021
2, 2187
3, 1774
4, 1311
5, 1001
6, 883
7, 773
8, 728
9, 738
5%, 1
_, 1
1/, 4
00, 2
a, 3516
10, 717
11, 652
20, 321
b, 43
3/, 2
30, 384
12, 608
21, 273
c, 68
13, 580
22, 249
31, 96
40, 46
d, 41
5/, 6
32, 85
50, 68
14, 551
23, 214
41, 47
e, 84
15, 502
24, 184
33, 67
42, 49
51, 36
60, 18
f, 21
16, 447
25, 191
34, 57
43, 45
52, 44
g, 54
61, 24
70, 35
17, 407
26, 162
35, 73
44, 39
h, 33
53, 46
62, 27
71, 24
80, 27
i, 1813
18, 370
27, 151
36, 61
45, 40
54, 33
63, 26
72, 11
81, 30
90, 28
19, 337
28, 134
37, 59
46, 46
55, 27
j, 33
64, 25
73, 21
82, 27
91, 22
29, 116
38, 74
47, 28
k, 80
56, 21
65, 24
74, 36
83, 35
92, 26
39, 47
48, 28
l, 10
57, 19
66, 30
75, 38
84, 22
93, 36
m, 179
49, 33
58, 27
94, 28
67, 30
76, 40
85, 27
59, 23
68, 30
77, 34
86, 30
95, 40
n, 40
o, 26
87, 36
69, 38
78, 32
96, 24
p, 135
79, 25
88, 25
97, 30
89, 27
98, 19
q, 8
r, 26
99, 32
s, 336
t, 15
u, 5
v, 17
w, 34
x, 1
z, 4
20%, 1
30%, 2
50%, 1
000, 142
10/, 5
1_, 1
100, 64
2_, 1
20/, 3
200, 34
1/2, 12
101, 31
110, 28
120, 37
1b, 1
102, 29
111, 15
300, 32
1/3, 1
201, 27
210, 23
40/, 1
400, 30
1/4, 3
103, 25
112, 33
121, 32
130, 44
202, 17
211, 15
220, 16
301, 19
310, 20
212, 19
500, 11
1d, 7
104, 23
113, 31
122, 40
6_, 1
131, 42
140, 22
203, 14
221, 21
230, 25
5/1, 2
302, 22
032, 1
311, 14
320, 12
401, 20
410, 21
321, 17
16/, 2
2d, 6
150, 21
3/4, 4
141, 35
105, 30
1/6, 1
420, 34
114, 27
123, 39
132, 39
204, 19
213, 14
222, 19
231, 18
240, 34
25/, 2
303, 26
330, 16
312, 14
600, 1
402, 18
411, 23
2/6, 3
511, 2
3d, 16
106, 28
115, 26
250, 33
124, 40
133, 40
142, 25
151, 20
160, 14
205, 13
214, 16
223, 15
232, 21
241, 29
17/, 1
5/3, 2
700, 1
304, 21
313, 17
322, 11
331, 21
340, 25
403, 19
412, 26
421, 24
430, 18
116, 27
710, 1
4d, 7
107, 23
152, 29
008, 1
125, 35
134, 41
143, 15
161, 22
170, 20
3/6, 2
350, 19
206, 22
215, 17
224, 18
233, 18
242, 21
18/, 1
251, 34
260, 15
521, 2
800, 3
305, 27
314, 15
323, 13
332, 19
341, 20
080, 1
